# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-s" "2" "-a" "ref/Saccharomyces_cerevisiae.gtf" "-o" "counts.txt" "-p" "SRR19383416.bam" "SRR19383417.bam" "SRR19383418.bam" "SRR19383407.bam" "SRR19383408.bam" "SRR19383409.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR19383416.bam	SRR19383417.bam	SRR19383418.bam	SRR19383407.bam	SRR19383408.bam	SRR19383409.bam
YOR198C	XV	718653	720065	-	1413	4517	6245	5358	3504	3102	3838
YOR053W	XV	427817	428158	+	342	26	18	28	40	74	70
YOL054W	XV	228614	229834	+	1221	180	272	158	194	158	199
YOR012W	XV	356543	356956	+	414	18	30	25	42	21	44
YOL118C	XV	96608	96916	-	309	7	10	12	65	70	107
YOR034C	XV	394837	397086	-	2250	1255	1574	1392	4131	3608	4578
YOR374W	XV	1039840	1041399	+	1560	1678	1938	1858	14968	12992	16686
YOR018W	XV	364369	366882	+	2514	570	770	721	2675	2293	3034
YOL084W	XV	162356	165331	+	2976	103	140	100	7017	6018	8398
YOR314W	XV	903043	903372	+	330	1	2	2	6	3	7
YOR050C	XV	424270	424617	-	348	5	10	2	0	0	4
YOR391C	XV	1078545	1079258	-	714	0	0	0	34	30	54
YOR327C	XV	930734	931081	-	348	943	1220	1054	1990	1513	1876
YOR352W	XV	997213	998244	+	1032	254	369	292	895	771	941
YOR348C	XV	986899	988782	-	1884	21	34	29	158	140	168
YOL115W	XV	101475	103229	+	1755	774	936	865	535	447	573
YOR066W	XV	449436	451325	+	1890	596	727	634	727	725	895
YOR072W-A	XV	461791	462039	+	249	14	28	18	34	45	38
YOL096C	XV	138107	139045	-	939	211	338	251	1277	1054	1399
tM(CAU)O2	XV	976421	976493	+	73	3	10	12	9	2	5
YOR020C	XV	370524	370844	-	321	3095	3783	3187	4814	4261	5209
YOR133W	XV	575098	577626	+	2529	28941	41015	31236	7260	6148	7830
YOR356W	XV	1007221	1009116	+	1896	476	626	575	459	319	420
YOR208W	XV	733925	736177	+	2253	626	755	633	2225	1889	2359
YOR357C	XV	1009224	1009712	-	489	463	649	509	1201	1035	1255
YOR277C	XV	841515	841823	-	309	113	81	108	23	27	62
YOR276W	XV	841333	841818	+	486	2933	3680	3276	1181	1016	1364
YOR247W	XV	797676	798308	+	633	1632	2302	2304	1228	1032	1358
snR50	XV	259489	259578	+	90	306	262	365	259	238	290
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	24	16	26	146	155	175
YOR221C	XV	756476	757558	-	1083	542	701	593	2453	2101	2734
YOR344C	XV	977194	978069	-	876	763	1142	821	271	270	301
YOR269W	XV	826385	827869	+	1485	430	587	486	1185	939	1148
YOR152C	XV	617518	618288	-	771	232	317	207	1891	1468	2002
YOR103C	XV	516449	516841	-	393	905	1155	872	1315	1066	1335
YOR377W	XV	1046226	1047803	+	1578	751	945	703	4046	3287	4192
YOR129C	XV	566877	569558	-	2682	522	716	594	704	554	689
YOL038C-A	XV	254926	255021	-	96	28	40	41	186	132	183
YOR156C	XV	628360	630540	-	2181	408	492	416	514	435	562
YOR329C	XV	936731	939349	-	2619	648	838	779	1585	1397	1707
YOR351C	XV	995018	996511	-	1494	1	7	8	88	90	108
YOL040C	XV	253149	253577	-	429	27447	35647	30446	1961	1839	2202
YOL159C-A	XV	15233	15505	-	273	96	74	101	367	362	307
YOR051C	XV	424846	426084	-	1239	1567	2078	1840	625	519	689
YOR003W	XV	331455	332891	+	1437	131	167	127	1031	740	990
YOR064C	XV	446079	446738	-	660	115	185	161	524	417	571
YOR073W	XV	464771	466543	+	1773	344	419	457	355	293	376
YOR201C	XV	720470	721708	-	1239	427	623	517	562	474	651
YOR065W	XV	447439	448368	+	930	355	485	372	1201	1056	1287
YOR186W	XV	683111	683545	+	435	1	16	12	324	292	284
YOR045W	XV	413852	414037	+	186	733	953	909	599	454	588
YOL018C	XV	290881	292074	-	1194	373	412	370	1063	898	1144
YOL133W	XV	70325	70690	+	366	470	477	455	1819	1764	2159
YOR087W	XV	487707	489734	+	2028	1337	1770	1385	3142	2598	3374
YOL028C	XV	270633	271370	-	738	253	263	296	298	244	319
YOL086C	XV	159548	160594	-	1047	247251	317626	269040	50399	44502	56079
YOL108C	XV	111431	111886	-	456	81	128	142	543	469	530
YOL023W	XV	278056	280086	+	2031	284	397	365	672	619	841
YOR011W-A	XV	355652	355858	+	207	1	0	0	5	4	2
YOR165W	XV	644566	646896	+	2331	2280	3155	2481	2586	2159	2744
YOL068C	XV	200368	201879	-	1512	1048	1338	1080	1633	1583	1757
YOR138C	XV	584309	586324	-	2016	778	965	839	3016	2428	3375
YOR016C	XV	360461	361084	-	624	928	1193	1090	1468	1250	1604
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	10068	12185	10886	538	588	717
YOL126C	XV	81787	82920	-	1134	3393	4324	4050	2828	2341	3062
YOR235W	XV	779870	780184	+	315	401	439	422	68	47	59
YOR080W	XV	474594	476792	+	2199	445	715	532	2201	1791	2206
YOR169C	XV	651376	651840	-	465	47	59	42	47	45	45
YOR028C	XV	383533	384420	-	888	135	132	123	273	257	348
YOR225W	XV	761392	761721	+	330	17	11	13	14	22	15
YOR108C-A	XV	524605	524814	-	210	16	18	31	4	12	14
YOR109W	XV	525278	528601	+	3324	2608	3430	2992	5529	4497	5757
YOL093W	XV	142815	143696	+	882	314	371	347	97	89	145
YOR147W	XV	606607	608475	+	1869	659	842	680	1269	1102	1315
YOR218C	XV	751476	751895	-	420	5	24	24	21	13	10
YOR254C	XV	805032	807023	-	1992	3932	5034	4242	1299	1103	1448
YOL080C	XV	180558	181427	-	870	370	467	372	39	32	42
YOR161W-B	XV	637975	638235	+	261	19	7	10	14	34	29
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	2	6	2	2	4	6
YOR136W	XV	580250	581359	+	1110	4282	5872	4472	7367	6679	8493
tR(ACG)O	XV	340299	340371	-	73	3	2	3	0	2	2
YOR192C-C	XV	703988	704224	-	237	83	125	130	77	56	113
YOR205C	XV	725564	727234	-	1671	488	589	490	464	386	438
YOR200W	XV	720417	720815	+	399	10	3	11	16	20	16
YOR305W	XV	889022	889750	+	729	323	445	375	452	391	454
YOR195W	XV	712866	715331	+	2466	898	1164	863	765	640	685
YOL123W	XV	87844	89448	+	1605	2910	3895	3330	2284	1886	2435
YOR097C	XV	506978	507505	-	528	112	138	149	398	293	386
YOL083C-A	XV	166461	166601	-	141	2	2	5	19	14	18
YOL086W-A	XV	159173	159445	+	273	193	175	209	922	792	993
YOR337W	XV	954344	956623	+	2280	343	512	507	492	356	491
YOL100W	XV	129237	132482	+	3246	646	824	709	2596	2073	2522
YOR289W	XV	853357	854112	+	756	108	117	85	1629	1376	1508
YOR255W	XV	807271	808107	+	837	0	0	0	9	2	4
YOR304W	XV	884514	887876	+	3363	1390	1740	1524	1590	1325	1658
YOL163W	XV	9597	10106	+	510	26	57	48	45630	37801	48859
YOR077W	XV	471899	472597	+	699	87	141	106	118	125	136
YOR074C	XV	466675	467589	-	915	486	613	568	196	186	256
YOR117W	XV	545029	546333	+	1305	2930	3556	3184	4109	3486	4466
YOR055W	XV	429478	429912	+	435	11	8	6	9	13	17
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0
YOL066C	XV	202696	204471	-	1776	491	603	496	756	646	895
YOR396W	XV	1085473	1090863	+	5391	1	1	5	1	2	7
YOR161C-C	XV	639121	639267	-	147	4	1	4	24	21	25
tV(AAC)O	XV	663812	663885	-	74	11	11	24	9	4	4
YOR151C	XV	612997	616671	-	3675	8226	10934	9461	5368	4631	5720
YOR187W	XV	684030	685343	+	1314	4704	6179	5256	6847	5911	7486
YOL001W	XV	325249	326130	+	882	334	407	365	1940	1733	2108
YOR005C	XV	334509	337343	-	2835	236	270	288	1259	1051	1377
YOR199W	XV	720181	720510	+	330	10	19	16	7	8	8
YOR355W	XV	1005137	1006705	+	1569	2978	3736	3251	1733	1641	1992
YOR290C	XV	855147	860258	-	5112	2168	3064	2561	3503	3157	3686
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	630	752	710	975	909	1153
YOL014W	XV	299693	300067	+	375	184	213	158	216	178	208
YOR244W	XV	792531	793868	+	1338	402	641	476	978	924	1092
YOL102C	XV	125997	126689	-	693	360	374	367	304	281	388
YOL060C	XV	214017	216137	-	2121	1471	1888	1554	4063	3451	4488
YOL041C	XV	251267	252646	-	1380	1491	2188	1753	219	175	185
YOL116W	XV	99809	100957	+	1149	324	441	361	1346	1079	1457
YOR353C	XV	998453	1000828	-	2376	582	637	701	1230	993	1160
YOR299W	XV	878435	880675	+	2241	947	1222	1175	2920	2527	3025
YOR366W	XV	1025256	1025609	+	354	15	24	27	60	58	68
tD(GUC)O	XV	571958	572029	+	72	24	16	27	30	19	7
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	29202	37889	30422	1477	1416	1796
YOR148C	XV	608640	609197	-	558	166	250	224	358	309	370
YOR301W	XV	880965	882272	+	1308	665	914	808	902	807	971
YOR257W	XV	811008	811493	+	486	128	161	160	156	137	157
YOR135C	XV	580159	580500	-	342	17	23	28	23	27	27
YOR032W-A	XV	392176	392376	+	201	8	7	13	696	644	725
YOR223W	XV	759782	760660	+	879	79	106	127	420	258	297
YOR076C	XV	469377	471620	-	2244	561	816	604	1598	1395	1650
YOR231C-A	XV	773163	773363	-	201	3	8	4	8	4	22
YOR316C-A	XV	907726	907935	-	210	13	19	15	136	136	170
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	22	13	25	25	12	24
YOR061W	XV	441534	442553	+	1020	1099	1586	1340	933	751	1041
YOR025W	XV	378219	379562	+	1344	769	1040	862	1316	1174	1385
YOR371C	XV	1031489	1034182	-	2694	989	1291	1134	1661	1505	1916
YOL140W	XV	58759	60030	+	1272	616	766	597	1373	1226	1524
YOL062C	XV	210520	211995	-	1476	1169	1440	1339	3859	3264	4044
YOR292C	XV	865653	866582	-	930	347	482	424	4592	3880	4729
tG(UCC)O	XV	110962	111033	-	72	0	0	0	3	7	2
YOR027W	XV	381053	382822	+	1770	4757	6178	5626	11265	9862	13197
tT(AGU)O2	XV	354041	354113	-	73	10	0	1	3	0	0
YOR142W-B	XV	595112	600380	+	5269	201	209	330	158	157	218
YOR192C-A	XV	708416	709732	-	1317	0	0	0	0	0	0
YOL103W-B	XV	118000	123268	+	5269	395	691	539	326	367	432
YOR142W-A	XV	595112	596434	+	1323	0	0	0	0	0	0
YOR192C-B	XV	704419	709732	-	5314	943	1393	1123	1299	1174	1406
YOR343W-B	XV	970578	975891	+	5314	304	346	322	796	722	857
YOR343W-A	XV	970578	971894	+	1317	0	0	0	0	0	0
YOL103W-A	XV	118000	119322	+	1323	0	0	0	0	0	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	432	479	411	1339	1268	1406
YGL156W	VII	210416	213667	+	3252	258	419	347	6525	5540	7284
YGL015C	VII	465043	465435	-	393	8	11	2	11	2	21
RME2	VII	141898	144120	-	2223	878	1103	939	5291	4865	5985
YGR251W	VII	995639	996229	+	591	200	289	222	161	135	166
YGR162W	VII	824059	826917	+	2859	9702	12947	11074	1818	1438	1906
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	16	18	22	10	6	7
YGR005C	VII	504657	505859	-	1203	653	810	738	884	695	835
YGL160W	VII	200561	202273	+	1713	1049	1515	1142	2557	2107	2705
snR46	VII	545370	545566	+	197	4206	4480	5293	6456	5044	7173
tD(GUC)G1	VII	531610	531681	+	72	15	10	21	14	10	14
YGL211W	VII	92512	93591	+	1080	372	540	544	301	317	381
YGR141W	VII	770569	771972	+	1404	102	148	183	300	168	195
YGL239C	VII	49431	49745	-	315	11	10	6	2	2	6
YGL097W	VII	321782	323230	+	1449	1567	2038	1998	656	520	709
YGR030C	VII	545681	546157	-	477	206	228	191	179	186	178
YGR224W	VII	942806	944647	+	1842	24	10	9	59	28	42
YGR142W	VII	772454	773686	+	1233	298	503	397	1560	1264	1502
YGR186W	VII	867774	869981	+	2208	1487	2226	1750	3026	2308	3076
YGR181W	VII	858287	858604	+	318	500	595	623	482	402	496
YGL081W	VII	357377	358339	+	963	6	38	24	180	195	191
YGR082W	VII	644044	644595	+	552	1339	1554	1405	755	653	837
YGL028C	VII	441281	442909	-	1629	4367	5649	4967	4463	3719	5159
YGL021W	VII	454785	457067	+	2283	1380	1907	1490	1812	1574	1762
YGL110C	VII	301537	303411	-	1875	487	676	537	792	624	797
YGR167W	VII	832456	833157	+	702	1455	2161	1664	2520	2036	2542
YGL017W	VII	459854	461365	+	1512	351	426	418	851	748	946
tA(UGC)G	VII	794417	794489	+	73	8	5	0	5	4	3
YGR156W	VII	800546	801823	+	1278	282	318	351	181	186	252
YGR291C	VII	1076283	1076504	-	222	0	4	0	7	6	8
YGR197C	VII	892497	894140	-	1644	394	474	446	1785	1598	1946
YGR041W	VII	577487	579130	+	1644	871	1118	919	769	709	900
YGL079W	VII	359444	360100	+	657	367	408	349	526	469	468
YGL107C	VII	304333	306273	-	1941	786	1014	768	987	853	1047
YGL168W	VII	187464	187796	+	333	53	45	48	27	28	47
YGL228W	VII	67598	69331	+	1734	1855	2461	2099	2896	2542	3277
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	366	416	349	1965	1819	2092
YGL050W	VII	405776	406597	+	822	254	342	308	215	175	220
YGR273C	VII	1038715	1039239	-	525	1	0	0	2	0	3
YGR086C	VII	649598	650617	-	1020	7823	9385	8277	14771	13027	17142
YGR228W	VII	949365	949709	+	345	59	58	48	40	12	19
YGL145W	VII	230243	232348	+	2106	667	912	763	1012	744	1008
YGR098C	VII	682566	687458	-	4893	1696	2111	1820	2256	2084	2418
YGR074W	VII	635712	636152	+	441	339	452	395	499	468	572
YGL098W	VII	317342	318079	+	738	216	301	220	797	725	859
snR7-S	VII	939494	939672	-	179	0	0	0	0	0	0
YGL096W	VII	325331	326161	+	831	84	134	94	938	826	1067
YGR240C-A	VII	974577	974777	-	201	10	15	8	32	27	21
YGR172C	VII	842845	843591	-	747	1267	1716	1463	1045	853	1045
YGR194C	VII	886073	887875	-	1803	279	441	368	4287	3415	4295
YGL026C	VII	446412	448535	-	2124	15834	19752	17551	15859	14466	18245
YGL213C	VII	90054	91247	-	1194	1225	1709	1439	2009	1760	2092
YGL248W	VII	35653	36762	+	1110	546	645	515	3338	2855	3619
YGL075C	VII	366925	368088	-	1164	131	186	163	524	476	579
YGL256W	VII	15159	16307	+	1149	907	1108	942	1243	1007	1254
YGL012W	VII	472855	474276	+	1422	7848	9816	8890	8391	7736	9848
YGL082W	VII	355827	356972	+	1146	721	918	801	3013	2658	3047
YGR161C	VII	808629	809420	-	792	170	253	273	8909	7898	9837
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	32	15	31	33	26	39
YGR274C	VII	1039895	1043095	-	3201	769	1169	1021	1262	1088	1437
YGR031C-A	VII	546809	547300	-	492	11	7	7	44	27	37
YGL037C	VII	427297	427947	-	651	1111	1556	1153	15888	14132	17341
YGL252C	VII	25718	27484	-	1767	948	1176	1124	1678	1287	1766
YGL250W	VII	31910	32635	+	726	88	113	101	539	442	526
YGR260W	VII	1012485	1014089	+	1605	4687	6054	5352	3897	3435	4300
YGR159C	VII	806412	807656	-	1245	4619	6571	5909	253	264	316
YGR006W	VII	506070	506825	+	756	99	141	158	260	251	291
YGL121C	VII	280777	281157	-	381	34	50	22	1763	1368	1775
YGL040C	VII	419527	420555	-	1029	1886	2533	2139	3882	3495	4167
YGR130C	VII	751394	753844	-	2451	1769	2311	1888	7505	6890	8492
YGR021W	VII	527632	528504	+	873	147	201	196	384	316	393
YGR097W	VII	678695	682135	+	3441	1450	1838	1690	3500	3033	3996
YGL170C	VII	184153	185394	-	1242	0	7	0	34	32	36
YGL166W	VII	191129	191806	+	678	173	228	191	869	782	943
YGL104C	VII	308713	310173	-	1461	265	325	342	3832	3393	4155
YGR149W	VII	789031	790329	+	1299	723	968	821	5714	4919	6072
YGR195W	VII	888882	889622	+	741	601	750	742	371	334	400
tG(GCC)G2	VII	930953	931023	-	71	7	6	4	1	2	7
YGR250C	VII	991176	993521	-	2346	876	1176	976	3339	2740	3384
YGL155W	VII	214081	215211	+	1131	672	812	724	970	871	1060
YGL216W	VII	84885	87302	+	2418	670	832	792	1692	1409	1786
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	421	465	413	859	706	837
YGL125W	VII	272520	274322	+	1803	3467	4405	4290	12905	11616	15011
YGR038W	VII	560682	561350	+	669	969	1186	1078	1364	1179	1442
YGR008C	VII	508110	508364	-	255	236	309	232	5412	4193	5574
YGR248W	VII	985972	986739	+	768	37	40	36	4347	3963	5100
YGL094C	VII	331118	334465	-	3348	1919	2615	2115	1663	1543	1932
YGR131W	VII	754726	755250	+	525	71	77	99	478	480	602
YGR163W	VII	827552	828577	+	1026	457	570	567	1026	765	948
YGR125W	VII	742325	745435	+	3111	1791	2413	2006	14257	12395	15282
YGR279C	VII	1048798	1049958	-	1161	14488	17413	17158	11064	9931	12905
YGL022W	VII	452404	454560	+	2157	7867	10077	8822	6472	5618	7037
tD(GUC)G2	VII	544577	544648	-	72	14	12	6	16	13	15
YGR271W	VII	1031791	1037694	+	5904	2404	3018	2655	6208	5446	6537
YGL025C	VII	448764	449957	-	1194	198	291	288	407	288	474
YGL176C	VII	171415	173079	-	1665	489	648	448	557	508	727
YGR031W	VII	546441	547469	+	1029	248	403	310	795	708	900
YGL102C	VII	311505	311933	-	429	808	733	696	59	57	76
YGR182C	VII	858551	858904	-	354	191	218	218	905	928	1050
YGR025W	VII	532639	532941	+	303	138	200	163	339	244	341
YGL113W	VII	295932	297938	+	2007	334	450	387	421	386	448
YGR188C	VII	872044	875109	-	3066	270	341	248	422	295	432
YGL162W	VII	198138	199037	+	900	207	261	232	202	156	217
YGL084C	VII	350616	352298	-	1683	2060	2665	2407	3341	2915	3712
snR10	VII	345986	346230	+	245	21	28	25	27	27	30
YGL196W	VII	129883	131169	+	1287	696	860	785	6594	5554	7002
RME3	VII	33109	35013	-	1905	148	216	134	1339	1175	1577
YGR230W	VII	951894	952307	+	414	70	96	61	650	543	658
YGR084C	VII	647123	648142	-	1020	414	440	391	419	330	439
YGL222C	VII	80659	81186	-	528	259	302	255	1405	1169	1433
YGR166W	VII	830515	832197	+	1683	493	601	480	688	586	773
YGR122C-A	VII	735630	735758	-	129	22	36	31	123	102	102
YGR152C	VII	794674	795492	-	819	262	323	268	144	112	161
YGL210W	VII	93792	94460	+	669	283	347	314	189	175	236
YGR265W	VII	1021648	1022058	+	411	48	36	45	6	16	16
YGR157W	VII	802440	805049	+	2610	13693	19526	15890	60686	49963	61879
YGL240W	VII	48613	49365	+	753	129	170	117	280	185	264
YGR085C	VII	648383	648907	-	525	6466	8687	7000	637	612	639
YGR237C	VII	963298	965655	-	2358	625	810	691	2369	2105	2563
YGL146C	VII	228751	229686	-	936	135	150	126	768	613	816
YGL153W	VII	216273	217298	+	1026	330	424	316	614	547	650
YGR075C	VII	636147	636875	-	729	162	166	146	326	336	398
tT(UGU)G2	VII	1004216	1004287	+	72	19	21	28	33	22	25
YGL169W	VII	186059	187339	+	1281	804	996	851	530	510	577
YGR187C	VII	870232	871416	-	1185	632	899	777	75	66	52
YGL167C	VII	187616	190468	-	2853	7506	9954	8403	12818	11403	13859
YGR050C	VII	592086	592442	-	357	99	113	112	319	311	358
YGR035W-A	VII	557565	557786	+	222	4	8	1	5	7	0
YGR217W	VII	924696	930815	+	6120	2132	2812	2376	1667	1738	2052
YGR068C	VII	625324	627084	-	1761	306	449	346	459	444	478
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	4	7	3	11	13	10
YGR177C	VII	848829	850436	-	1608	728	964	698	566	472	592
YGL068W	VII	375087	375671	+	585	972	1297	1063	854	797	875
tN(GUU)G	VII	731137	731210	+	74	3	5	1	5	5	6
YGL018C	VII	459110	459664	-	555	107	167	145	245	228	256
YGL188C	VII	149343	149516	-	174	115	170	100	269	234	273
YGR126W	VII	745835	746527	+	693	104	191	148	318	284	373
YGL065C	VII	379760	381271	-	1512	897	1171	972	1016	884	1044
YGL014W	VII	466141	468807	+	2667	2916	4000	3646	2055	1836	2280
YGL100W	VII	313234	314283	+	1050	1241	1443	1289	1005	911	1059
YGR288W	VII	1070293	1071714	+	1422	226	279	219	1221	1090	1351
YGL174W	VII	174545	175345	+	801	94	150	135	256	230	292
YGR211W	VII	915241	916701	+	1461	1968	2660	2358	876	731	954
YGL204C	VII	111700	112005	-	306	170	221	221	553	511	628
YGR270W	VII	1027370	1031509	+	4140	2677	3769	3028	6710	5511	7222
YGR204W	VII	905934	908774	+	2841	11490	14638	14082	29706	25021	31262
YGR266W	VII	1022656	1024761	+	2106	1070	1324	1083	3579	2918	3855
YGL070C	VII	374459	374827	-	369	371	558	392	319	256	365
YGL225W	VII	76894	77907	+	1014	4915	6823	6447	3941	3357	3880
YGL120C	VII	281634	283937	-	2304	3610	4648	4196	235	261	293
tE(UUC)G1	VII	328583	328654	+	72	24	28	26	9	12	22
YGR252W	VII	996869	998188	+	1320	483	688	546	1313	1144	1316
YGL106W	VII	306560	307009	+	450	1485	1901	1718	1697	1387	1783
YGR284C	VII	1060658	1061590	-	933	3227	4354	3647	4965	4409	5295
YGR032W	VII	548264	553951	+	5688	4129	5612	5272	38846	32093	41905
YGR174C	VII	845893	846405	-	513	86	118	90	620	349	503
YGR208W	VII	911883	912812	+	930	1059	1247	1122	510	542	621
YGL016W	VII	461666	464911	+	3246	3558	4621	3912	3176	2705	3130
YGR255C	VII	1002523	1003962	-	1440	975	1353	1070	3361	2959	3615
YGR146C-A	VII	785276	785437	-	162	9	9	10	28	12	42
YGL194C	VII	140368	141726	-	1359	542	696	543	2837	2303	3050
YGL138C	VII	248494	249531	-	1038	3	2	3	14	9	26
YGR091W	VII	666341	667825	+	1485	337	441	313	408	416	418
YGR200C	VII	899904	902270	-	2367	2608	3473	2937	432	354	436
YGR191W	VII	880420	882231	+	1812	2512	3401	3073	2769	2219	2775
YGR270C-A	VII	1027382	1027600	-	219	6	7	7	11	18	12
YGL227W	VII	69671	72547	+	2877	614	898	755	5371	4371	5518
YGR081C	VII	643148	643780	-	633	467	554	515	153	122	173
YGL243W	VII	43307	44509	+	1203	316	397	318	620	518	603
YGL194C-A	VII	139719	139961	-	243	117	183	139	291	309	371
YGR148C	VII	787312	787779	-	468	9935	13460	10903	1229	1091	1389
YGL136C	VII	252897	253859	-	963	270	337	279	863	747	1031
YGR276C	VII	1043819	1045480	-	1662	696	973	853	702	642	726
YGL129C	VII	267723	269075	-	1353	597	736	689	763	567	853
tR(UCU)G2	VII	828723	828794	-	72	46	27	44	13	16	14
YGR053C	VII	594986	595837	-	852	46	74	47	242	311	326
YGR069W	VII	627083	627418	+	336	11	19	10	74	63	70
YGL224C	VII	78015	78857	-	843	683	856	742	3089	2686	3151
YGL193C	VII	141916	142227	-	312	0	0	0	0	0	0
YGL020C	VII	457163	457870	-	708	668	893	847	556	461	552
YGL177W	VII	167559	167906	+	348	88	97	105	133	88	141
YGL189C	VII	148229	148588	-	360	26069	31067	27983	2485	2345	2850
YGR122W	VII	733935	735143	+	1209	354	455	385	1677	1406	1788
YGL003C	VII	492474	494174	-	1701	476	648	592	1997	1668	2228
YGR210C	VII	913503	914738	-	1236	922	1186	1208	760	603	762
tG(GCC)G1	VII	845649	845719	+	71	10	7	14	1	0	0
YGR079W	VII	640720	641832	+	1113	797	1030	952	237	197	267
YGL115W	VII	292033	293001	+	969	1445	1920	1605	3135	2892	3313
YGL105W	VII	307437	308567	+	1131	7695	9445	8652	2208	1971	2388
YGR026W	VII	532985	533821	+	837	2393	3214	2498	4909	4370	5454
YGR087C	VII	651290	652981	-	1692	27	49	34	170154	147940	186863
YGR278W	VII	1046731	1048464	+	1734	310	388	350	559	453	543
YGR042W	VII	579476	580291	+	816	239	271	252	704	647	734
YGR043C	VII	580435	581436	-	1002	43	91	69	2187	1842	2467
YGL165C	VII	191398	191976	-	579	4	8	13	41	30	33
YGR110W	VII	713709	715046	+	1338	52	63	54	801	767	812
YGR089W	VII	656960	659770	+	2811	1444	1943	1610	1674	1428	1715
YGL158W	VII	207033	208571	+	1539	36	46	36	24	25	23
YGR262C	VII	1016974	1017759	-	786	453	579	544	567	455	535
YGL200C	VII	122694	123305	-	612	4272	5359	4764	3413	2822	3749
YGL117W	VII	288512	289309	+	798	267	326	251	5095	4527	5405
YGL186C	VII	151037	152776	-	1740	1680	2098	2038	6062	4845	6181
YGR010W	VII	511545	512732	+	1188	303	448	362	1128	1040	1273
YGR198W	VII	894693	897146	+	2454	1396	1989	1531	3120	2727	3492
YGR137W	VII	762888	763262	+	375	132	142	112	258	192	273
YGL058W	VII	393986	394504	+	519	737	863	793	777	642	912
YGL226W	VII	73340	73711	+	372	87	133	110	166	118	182
YGL055W	VII	398628	400160	+	1533	14333	17816	15446	3430	3087	3919
YGL184C	VII	154615	156012	-	1398	318	425	379	43581	38231	45795
YGL024W	VII	449788	450123	+	336	8	8	12	32	32	45
tV(AAC)G3	VII	73829	73902	-	74	6	2	5	17	31	21
YGL151W	VII	217524	220922	+	3399	1517	2130	1705	2186	2127	2530
YGR101W	VII	693363	694403	+	1041	468	620	513	1241	1040	1327
YGL230C	VII	63772	64215	-	444	19	12	16	10	19	23
YGR103W	VII	695417	697234	+	1818	4614	6338	4986	342	338	387
YGR096W	VII	676621	677565	+	945	178	238	205	172	150	211
YGR112W	VII	717358	718527	+	1170	178	254	153	845	633	880
tI(AAU)G	VII	739122	739195	+	74	10	16	15	8	11	13
YGL013C	VII	469092	472298	-	3207	1345	1716	1417	3222	2683	3364
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	26425	32719	27639	1392	1403	1696
YGR067C	VII	622372	624786	-	2415	67	107	70	359	337	425
YGR094W	VII	672186	675500	+	3315	21893	29553	26000	4661	4353	5123
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	1050	1291	1153	610	571	639
YGR045C	VII	583934	584296	-	363	14	19	15	121	103	122
YGR175C	VII	846933	848423	-	1491	9212	12574	10364	7526	6623	8535
YGL008C	VII	479910	482666	-	2757	232981	310360	268996	111855	98532	124125
YGR115C	VII	720372	721151	-	780	95	88	74	34	28	53
YGR108W	VII	703636	705051	+	1416	975	1534	1225	1430	1350	1429
YGR218W	VII	932541	935795	+	3255	6499	8542	6999	7567	6476	8068
YGR205W	VII	909213	910085	+	873	419	533	407	2021	1844	2130
YGL073W	VII	368753	371254	+	2502	792	919	762	1671	1422	1779
YGL009C	VII	476313	478652	-	2340	50064	65577	52077	2825	2187	2616
YGL095C	VII	328874	330607	-	1734	717	853	703	1792	1472	1876
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	9137	11649	9914	7102	6160	7927
YGL214W	VII	90010	90495	+	486	59	47	38	29	31	50
YGR105W	VII	698599	698832	+	234	700	804	753	459	347	509
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	1191	1529	1214	690	634	726
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	22	20	21	11	22	22
YGL217C	VII	84839	85180	-	342	3	1	8	4	9	7
YGL173C	VII	175527	180113	-	4587	11913	16371	13727	12569	10467	13432
YGL086W	VII	347119	349368	+	2250	773	1016	866	788	660	790
YGR223C	VII	940869	942215	-	1347	392	417	349	1614	1405	1903
tS(AGA)G	VII	561662	561743	-	82	23	20	39	5	2	14
YGR077C	VII	637744	639513	-	1770	882	1122	991	2978	2444	3190
YGL052W	VII	403437	403742	+	306	11	13	15	73	75	85
